iter	Passed	Remaining
0	7	14163
1	13	13378
2	19	12882
3	25	12668
4	31	12452
5	38	12749
6	48	13776
7	58	14579
8	65	14542
9	72	14485
10	79	14315
11	86	14326
12	92	14188
13	99	14074
14	106	14067
15	113	14056
16	119	13960
17	126	13879
18	132	13768
19	138	13673
20	144	13585
21	150	13509
22	156	13450
23	162	13411
24	169	13363
25	176	13377
26	183	13384
27	190	13405
28	196	13356
29	204	13438
30	210	13385
31	217	13383
32	223	13321
33	229	13282
34	236	13255
35	241	13199
36	247	13153
37	253	13107
38	260	13082
39	266	13050
40	272	13034
41	279	13034
42	286	13028
43	292	13023
44	299	12990
45	305	12958
46	311	12926
47	316	12891
48	322	12853
49	329	12837
50	335	12820
51	341	12797
52	347	12773
53	353	12750
54	359	12728
55	366	12727
56	373	12736
57	379	12720
58	386	12701
59	392	12681
60	398	12681
61	405	12678
62	411	12653
63	417	12631
64	423	12617
65	429	12593
66	436	12597
67	443	12591
68	449	12578
69	456	12580
70	463	12585
71	469	12578
72	475	12557
73	481	12536
74	487	12519
75	494	12513
76	500	12499
77	506	12489
78	512	12468
79	519	12459
80	525	12454
81	532	12445
82	538	12445
83	545	12436
84	552	12457
85	559	12441
86	565	12434
87	571	12422
88	577	12409
89	584	12397
90	590	12380
91	596	12368
92	602	12353
93	608	12338
94	615	12342
95	621	12333
96	627	12317
97	634	12304
98	640	12298
99	646	12290
100	653	12279
101	659	12266
102	665	12258
103	671	12247
104	677	12232
105	683	12219
106	691	12232
107	698	12230
108	705	12231
109	711	12231
110	718	12224
111	725	12223
112	731	12209
113	737	12208
114	744	12197
115	750	12184
116	756	12175
117	762	12165
118	769	12156
119	775	12147
120	781	12135
121	787	12128
122	794	12128
123	801	12122
124	807	12112
125	813	12099
126	819	12092
127	826	12086
128	832	12071
129	838	12065
130	844	12054
131	850	12041
132	857	12032
133	863	12028
134	870	12026
135	877	12024
136	883	12015
137	890	12015
138	897	12017
139	903	12009
140	910	12002
141	916	11993
142	922	11982
143	928	11971
144	934	11959
145	941	11953
146	947	11942
147	953	11931
148	959	11919
149	965	11912
150	971	11901
151	978	11897
152	985	11892
153	991	11881
154	997	11872
155	1003	11862
156	1009	11854
157	1016	11846
158	1022	11836
159	1028	11828
160	1035	11825
161	1041	11816
162	1047	11808
163	1054	11799
164	1060	11789
165	1066	11782
166	1072	11775
167	1078	11764
168	1084	11754
169	1091	11749
170	1097	11738
171	1103	11727
172	1109	11715
173	1115	11707
174	1121	11696
175	1128	11691
176	1134	11685
177	1140	11675
178	1147	11668
179	1153	11660
180	1159	11650
181	1165	11644
182	1172	11637
183	1178	11627
184	1184	11616
185	1190	11613
186	1196	11604
187	1203	11596
188	1209	11589
189	1215	11583
190	1222	11583
191	1229	11577
192	1235	11567
193	1242	11562
194	1250	11573
195	1256	11563
196	1262	11555
197	1269	11552
198	1275	11545
199	1282	11543
200	1289	11544
201	1296	11540
202	1303	11541
203	1311	11545
204	1318	11544
205	1325	11541
206	1331	11532
207	1337	11525
208	1344	11522
209	1351	11519
210	1358	11514
211	1364	11511
212	1372	11510
213	1379	11515
214	1386	11511
215	1393	11507
216	1400	11503
217	1406	11497
218	1412	11488
219	1419	11485
220	1426	11481
221	1433	11482
222	1440	11480
223	1447	11473
224	1453	11464
225	1460	11461
226	1466	11452
227	1472	11443
228	1479	11442
229	1485	11435
230	1492	11429
231	1499	11425
232	1505	11420
233	1512	11416
234	1519	11408
235	1526	11409
236	1532	11402
237	1539	11399
238	1546	11398
239	1554	11399
240	1561	11399
241	1568	11393
242	1575	11389
243	1582	11387
244	1588	11382
245	1595	11373
246	1602	11369
247	1608	11363
248	1616	11364
249	1622	11360
250	1629	11352
251	1635	11347
252	1642	11339
253	1648	11333
254	1654	11324
255	1661	11316
256	1667	11308
257	1673	11301
258	1680	11294
259	1686	11286
260	1693	11280
261	1699	11271
262	1706	11267
263	1714	11272
264	1720	11266
265	1727	11261
266	1734	11255
267	1740	11250
268	1748	11248
269	1754	11239
270	1760	11231
271	1766	11223
272	1773	11217
273	1779	11211
274	1786	11207
275	1793	11201
276	1799	11192
277	1805	11185
278	1811	11176
279	1817	11166
280	1824	11159
281	1830	11151
282	1836	11144
283	1843	11137
284	1849	11129
285	1855	11119
286	1861	11112
287	1868	11106
288	1874	11097
289	1880	11090
290	1886	11082
291	1893	11074
292	1899	11066
293	1906	11062
294	1912	11056
295	1919	11047
296	1926	11045
297	1932	11039
298	1939	11032
299	1945	11024
300	1952	11020
301	1959	11015
302	1965	11008
303	1972	11002
304	1978	10992
305	1984	10983
306	1990	10976
307	1996	10965
308	2002	10956
309	2008	10947
310	2014	10938
311	2020	10930
312	2026	10923
313	2032	10914
314	2038	10906
315	2045	10898
316	2051	10890
317	2057	10882
318	2063	10873
319	2069	10866
320	2075	10857
321	2082	10853
322	2089	10847
323	2095	10841
324	2101	10832
325	2108	10825
326	2114	10817
327	2121	10812
328	2128	10809
329	2135	10805
330	2141	10797
331	2147	10790
332	2153	10782
333	2160	10776
334	2166	10767
335	2172	10760
336	2179	10754
337	2186	10749
338	2192	10743
339	2198	10734
340	2205	10727
341	2211	10719
342	2218	10715
343	2224	10707
344	2230	10701
345	2237	10694
346	2243	10685
347	2249	10678
348	2256	10673
349	2262	10667
350	2269	10660
351	2275	10654
352	2282	10649
353	2288	10641
354	2295	10634
355	2301	10628
356	2308	10622
357	2314	10615
358	2320	10608
359	2327	10601
360	2333	10592
361	2339	10584
362	2345	10576
363	2351	10569
364	2357	10561
365	2364	10554
366	2370	10547
367	2376	10540
368	2382	10531
369	2389	10525
370	2395	10517
371	2402	10513
372	2408	10504
373	2414	10499
374	2421	10491
375	2427	10483
376	2433	10476
377	2439	10469
378	2445	10461
379	2452	10454
380	2458	10447
381	2465	10441
382	2471	10435
383	2478	10431
384	2486	10429
385	2492	10420
386	2498	10414
387	2505	10407
388	2510	10398
389	2517	10390
390	2522	10382
391	2529	10375
392	2535	10367
393	2542	10361
394	2548	10353
395	2554	10345
396	2560	10337
397	2566	10331
398	2573	10326
399	2578	10312
400	2584	10304
401	2590	10298
402	2598	10296
403	2604	10289
404	2611	10285
405	2618	10279
406	2625	10274
407	2631	10269
408	2638	10262
409	2644	10255
410	2650	10247
411	2657	10242
412	2664	10238
413	2671	10233
414	2677	10226
415	2684	10220
416	2691	10215
417	2697	10208
418	2703	10201
419	2709	10193
420	2716	10190
421	2723	10185
422	2730	10178
423	2736	10173
424	2743	10165
425	2749	10157
426	2755	10149
427	2761	10141
428	2767	10133
429	2774	10130
430	2782	10128
431	2789	10125
432	2797	10123
433	2804	10117
434	2810	10112
435	2817	10107
436	2825	10106
437	2832	10101
438	2839	10097
439	2847	10096
440	2855	10093
441	2861	10088
442	2870	10087
443	2877	10082
444	2883	10076
445	2889	10068
446	2896	10061
447	2902	10054
448	2908	10047
449	2915	10041
450	2921	10035
451	2928	10029
452	2934	10022
453	2941	10015
454	2948	10011
455	2954	10005
456	2961	9999
457	2971	10004
458	2978	10000
459	2985	9994
460	2992	9989
461	2999	9983
462	3006	9979
463	3013	9976
464	3021	9974
465	3028	9968
466	3034	9962
467	3042	9960
468	3049	9954
469	3055	9947
470	3062	9940
471	3068	9934
472	3075	9927
473	3082	9922
474	3089	9917
475	3096	9913
476	3102	9906
477	3109	9900
478	3115	9893
479	3122	9889
480	3129	9882
481	3135	9874
482	3141	9867
483	3148	9860
484	3156	9859
485	3163	9853
486	3169	9845
487	3175	9838
488	3182	9833
489	3189	9827
490	3195	9821
491	3201	9813
492	3208	9807
493	3214	9799
494	3220	9791
495	3226	9783
496	3232	9776
497	3239	9769
498	3245	9762
499	3251	9754
500	3257	9746
501	3263	9739
502	3270	9732
503	3276	9725
504	3282	9716
505	3289	9712
506	3295	9704
507	3301	9697
508	3308	9690
509	3314	9683
510	3320	9676
511	3326	9668
512	3333	9661
513	3339	9656
514	3346	9649
515	3352	9642
516	3359	9636
517	3365	9629
518	3372	9623
519	3378	9616
520	3384	9608
521	3391	9601
522	3397	9594
523	3403	9588
524	3410	9581
525	3416	9574
526	3422	9566
527	3428	9559
528	3434	9551
529	3441	9543
530	3446	9535
531	3453	9529
532	3459	9522
533	3466	9517
534	3474	9514
535	3480	9507
536	3488	9503
537	3494	9496
538	3501	9490
539	3508	9484
540	3514	9478
541	3520	9470
542	3527	9464
543	3533	9458
544	3541	9453
545	3548	9449
546	3555	9444
547	3562	9438
548	3568	9432
549	3575	9425
550	3583	9422
551	3589	9415
552	3596	9409
553	3602	9403
554	3608	9395
555	3615	9389
556	3621	9382
557	3628	9376
558	3634	9368
559	3640	9360
560	3647	9354
561	3653	9348
562	3659	9341
563	3666	9334
564	3672	9327
565	3679	9322
566	3686	9316
567	3692	9309
568	3699	9303
569	3705	9296
570	3712	9290
571	3718	9283
572	3724	9275
573	3730	9268
574	3736	9260
575	3742	9252
576	3749	9245
577	3755	9238
578	3761	9230
579	3767	9224
580	3773	9216
581	3779	9209
582	3785	9201
583	3792	9194
584	3798	9188
585	3804	9181
586	3811	9174
587	3818	9169
588	3824	9162
589	3830	9155
590	3837	9148
591	3844	9142
592	3850	9136
593	3857	9131
594	3864	9124
595	3870	9117
596	3876	9110
597	3882	9103
598	3889	9098
599	3896	9091
600	3902	9084
601	3908	9076
602	3914	9069
603	3921	9062
604	3927	9055
605	3933	9047
606	3939	9040
607	3945	9032
608	3951	9025
609	3957	9017
610	3963	9010
611	3969	9002
612	3975	8995
613	3982	8988
614	3988	8983
615	3995	8977
616	4002	8970
617	4008	8964
618	4015	8958
619	4021	8951
620	4027	8944
621	4034	8937
622	4040	8930
623	4046	8924
624	4053	8917
625	4059	8910
626	4065	8903
627	4072	8896
628	4078	8889
629	4084	8882
630	4091	8876
631	4097	8868
632	4104	8862
633	4110	8855
634	4116	8848
635	4122	8841
636	4128	8834
637	4135	8828
638	4141	8820
639	4147	8813
640	4153	8805
641	4159	8798
642	4166	8793
643	4172	8785
644	4178	8778
645	4185	8772
646	4192	8766
647	4199	8762
648	4205	8755
649	4212	8748
650	4218	8741
651	4225	8735
652	4232	8729
653	4238	8724
654	4244	8716
655	4251	8710
656	4257	8703
657	4264	8697
658	4270	8689
659	4276	8682
660	4282	8675
661	4288	8667
662	4294	8660
663	4302	8657
664	4310	8652
665	4318	8649
666	4325	8643
667	4332	8638
668	4339	8633
669	4346	8628
670	4354	8624
671	4362	8620
672	4368	8613
673	4374	8606
674	4381	8600
675	4387	8594
676	4394	8587
677	4400	8580
678	4408	8576
679	4416	8572
680	4423	8567
681	4430	8561
682	4436	8554
683	4443	8548
684	4449	8542
685	4456	8535
686	4462	8528
687	4469	8523
688	4476	8516
689	4482	8510
690	4489	8504
691	4496	8498
692	4502	8492
693	4509	8487
694	4516	8481
695	4523	8475
696	4531	8471
697	4538	8466
698	4546	8461
699	4553	8456
700	4560	8451
701	4567	8446
702	4575	8440
703	4582	8435
704	4589	8430
705	4596	8425
706	4603	8418
707	4609	8412
708	4616	8406
709	4623	8400
710	4630	8394
711	4636	8387
712	4642	8379
713	4648	8373
714	4655	8366
715	4661	8359
716	4667	8352
717	4673	8344
718	4680	8338
719	4686	8331
720	4692	8324
721	4699	8318
722	4705	8311
723	4713	8306
724	4719	8299
725	4725	8292
726	4732	8285
727	4738	8278
728	4744	8271
729	4750	8265
730	4757	8258
731	4764	8252
732	4770	8246
733	4777	8239
734	4783	8232
735	4789	8225
736	4795	8217
737	4801	8210
738	4807	8204
739	4814	8197
740	4820	8189
741	4826	8182
742	4832	8175
743	4838	8168
744	4844	8161
745	4851	8154
746	4857	8147
747	4864	8141
748	4870	8135
749	4877	8129
750	4883	8122
751	4890	8116
752	4896	8109
753	4902	8101
754	4909	8095
755	4915	8088
756	4922	8082
757	4928	8076
758	4935	8070
759	4942	8064
